date,source,confirm_dengue,ta,rha,ra,max_ta,min_ta,ws,sr
2022-03-07,static,0,23.79904762,57.4147619,0.0,31.5168254,16.84063492,,
2022-03-08,static,0,24.33650794,56.70492063,0.0,31.44301587,17.65206349,,
2022-03-09,static,1,24.43619048,55.29126984,0.0,31.76301587,17.89507937,,
2022-03-10,static,1,24.41714286,52.8652381,0.0,31.85142857,17.74301587,,
2022-03-11,static,2,24.5715873,51.76619048,0.0,31.61984127,17.74333333,,
2022-03-12,static,0,24.71063492,52.63269841,0.0,31.79555556,18.43571429,,
2022-03-13,static,0,25.01,53.26603175,0.0,32.27936508,18.29825397,,
2022-03-14,static,0,25.7284127,52.63920635,0.0,33.00984127,18.82126984,,
2022-03-15,static,0,26.39333333,50.39587302,0.0,33.57952381,19.68714286,,
2022-03-16,static,1,26.55873016,55.99460317,0.0,33.67825397,20.27460317,,
2022-03-17,static,0,27.05539683,58.49222222,0.0,34.01,20.4847619,,
2022-03-18,static,0,27.41603175,57.12587302,0.0,34.57269841,20.95761905,,
2022-03-19,static,0,27.47444444,56.15079365,0.0,34.8784127,21.17761905,,
2022-03-20,static,0,26.66761905,59.7031746,0.0,34.01222222,20.55460317,,
2022-03-21,static,0,26.94746032,61.71460317,0.052857143,34.19714286,20.55079365,,
2022-03-22,static,0,27.95619048,61.25857143,0.062698413,34.72269841,21.72301587,,
2022-03-23,static,2,28.77396825,58.36857143,0.080952381,35.62253968,22.88349206,,
2022-03-24,static,1,27.88825397,62.4552381,0.352380952,34.61206349,22.89809524,,
2022-03-25,static,0,27.81444444,69.46777778,1.797460317,33.99126984,23.01936508,,
2022-03-26,static,1,28.29079365,69.21126984,4.655079365,34.38761905,24.09269841,,
2022-03-27,static,1,28.01857143,66.43174603,2.29952381,34.09857143,22.91777778,,
2022-03-28,static,0,27.78365079,66.67428571,0.736507937,33.78460317,22.8168254,,
2022-03-29,static,2,27.6,69.59984127,1.67968254,33.46650794,22.88349206,,
2022-03-30,static,4,27.96730159,71.66428571,2.086666667,33.29,23.62714286,,
2022-03-31,static,0,28.55031746,71.00777778,3.218095238,34.10555556,24.08253968,,
2022-04-01,static,0,28.84095238,71.16539683,7.016349206,34.18079365,24.53984127,,
2022-04-02,static,0,28.65952381,71.89238095,5.528888889,33.83444444,24.77777778,,
2022-04-03,static,2,28.49190476,70.74904762,2.91047619,33.74095238,24.27079365,,
2022-04-04,static,0,28.73412698,68.55126984,6.575714286,34.56428571,24.76015873,,
2022-04-05,static,0,28.52015873,70.12666667,7.576349206,34.56333333,23.9584127,,
2022-04-06,static,0,28.59936508,69.60126984,1.55015873,34.76206349,23.64714286,,
2022-04-07,static,1,29.14063492,65.22777778,0.268412698,35.68253968,23.6568254,,
2022-04-08,static,0,29.17349206,62.77444444,0.232380952,35.69714286,23.33634921,,
2022-04-09,static,0,29.09190476,64.94746032,1.58031746,35.4215873,23.76269841,,
2022-04-10,static,2,29.14650794,67.3831746,2.15047619,35.46507937,23.76619048,,
2022-04-11,static,1,29.50539683,69.02079365,3.115714286,35.29492063,24.7252381,,
2022-04-12,static,0,29.57730159,68.95095238,1.63,35.13746032,24.84634921,,
2022-04-13,static,2,29.70285714,68.93777778,5.935714286,35.55539683,25.00666667,,
2022-04-14,static,0,29.88539683,68.58174603,3.765714286,35.79920635,25.55714286,,
2022-04-15,static,0,30.55079365,63.32793651,2.063809524,37.20111111,25.72031746,,
2022-04-16,static,2,30.10825397,66.39190476,4.402380952,35.6084127,25.52253968,,
2022-04-17,static,1,30.28333333,65.49968254,3.81952381,35.98587302,25.6631746,,
2022-04-18,static,1,30.08587302,66.98952381,3.91,35.85428571,25.22539683,,
2022-04-19,static,0,29.86857143,68.36,4.173015873,35.49031746,25.10587302,,
2022-04-20,static,2,28.7831746,72.07380952,10.3484127,33.84142857,25.08888889,,
2022-04-21,static,2,28.35460317,69.96777778,4.927936508,33.23777778,23.85444444,,
2022-04-22,static,0,29.29793651,70.36746032,6.807936508,34.20634921,25.18809524,,
2022-04-23,static,0,29.71952381,68.6084127,8.764444444,35.63571429,25.16142857,,
2022-04-24,static,1,30.12111111,65.44190476,5.227301587,36.61873016,24.93555556,,
2022-04-25,static,2,30.42777778,64.78460317,2.546507937,36.94904762,24.80539683,,
2022-04-26,static,3,30.40777778,67.64619048,1.697460317,36.43444444,25.32174603,,
2022-04-27,static,1,30.48666667,68.48587302,2.845079365,36.43031746,25.65587302,,
2022-04-28,static,0,30.8431746,66.52571429,1.218412698,37.06333333,25.58777778,,
2022-04-29,static,0,31.11936508,65.05936508,2.25031746,37.18444444,25.63015873,,
2022-04-30,static,0,30.49936508,66.57730159,6.864285714,36.07619048,26.13730159,,
2022-05-01,static,0,30.15984127,63.67428571,4.036984127,35.60412698,25.66301587,,
2022-05-02,static,0,29.72301587,66.02698413,7.641587302,35.10920635,25.62746032,,
2022-05-03,static,0,28.50952381,72.90126984,13.11396825,32.48666667,25.34714286,,
2022-05-04,static,0,28.42126984,73.67539683,10.47142857,32.53698413,24.89793651,,
2022-05-05,static,1,28.62507937,71.67857143,7.642063492,32.84777778,24.97,,
2022-05-06,static,1,28.73047619,71.99809524,11.17444444,33.19984127,24.75666667,,
2022-05-07,static,0,29.63587302,67.07396825,1.761746032,34.33888889,25.3484127,,
2022-05-08,static,5,29.92857143,66.42222222,1.956507937,34.90904762,25.14968254,,
2022-05-09,static,1,28.81730159,73.70904762,16.90444444,32.80269841,25.57730159,,
2022-05-10,static,2,27.72269841,81.6368254,25.32365079,30.74174603,25.36761905,,
2022-05-11,static,0,28.61952381,81.43111111,24.42825397,32.15619048,25.77079365,,
2022-05-12,static,0,29.25126984,79.91793651,17.12460317,32.81301587,26.49047619,,
2022-05-13,static,1,29.22126984,82.20936508,29.79634921,32.74238095,26.52714286,,
2022-05-14,static,3,29.81603175,80.59301587,16.98396825,34.36809524,26.7015873,,
2022-05-15,static,1,29.6215873,82.22555556,10.53777778,33.1752381,27.13507937,,
2022-05-16,static,8,29.06015873,84.21777778,11.14730159,32.06571429,27.00444444,,
2022-05-17,static,12,28.79031746,84.52031746,21.11206349,31.74380952,26.76095238,,
2022-05-18,static,5,28.56492063,84.84968254,21.93746032,31.15952381,26.72492063,,
2022-05-19,static,5,29.26809524,82.29111111,20.66095238,33.03539683,26.48238095,,
2022-05-20,static,0,29.05761905,82.42730159,19.58,32.49111111,26.54761905,,
2022-05-21,static,9,28.71190476,85.71539683,34.70333333,31.93269841,26.34,,
2022-05-22,static,6,28.8284127,80.63634921,14.8215873,32.62746032,25.51873016,,
2022-05-23,static,15,28.7715873,79.33746032,13.44285714,32.40492063,25.71015873,,
2022-05-24,static,12,29.4747619,75.73857143,5.533015873,33.40619048,25.53222222,,
2022-05-25,static,6,29.27761905,77.5415873,9.526031746,32.40920635,26.49666667,,
2022-05-26,static,7,29.07746032,77.11888889,9.697936508,32.70873016,25.72031746,,
2022-05-27,static,6,29.26952381,76.62507937,8.833968254,33.23714286,25.73539683,,
2022-05-28,static,15,29.40095238,76.4647619,8.204761905,33.35253968,25.88190476,,
2022-05-29,static,10,29.0484127,80.95,19.25555556,32.32031746,26.25047619,,
2022-05-30,static,18,28.57190476,82.47920635,12.98269841,31.58650794,26.0747619,,
2022-05-31,static,14,28.64253968,81.77587302,7.284126984,31.69253968,26.00857143,,
2022-06-01,static,9,28.62349206,83.62142857,11.41698413,31.51238095,26.41349206,,
2022-06-02,static,20,28.87079365,81.46285714,7.72,32.05603175,26.35873016,,
2022-06-03,static,17,28.80619048,84.59587302,15.94698413,31.70492063,26.57952381,,
2022-06-04,static,13,28.63492063,84.2715873,18.77650794,31.43539683,26.64650794,,
2022-06-05,static,15,28.84857143,82.9252381,11.4315873,32.32111111,26.30206349,,
2022-06-06,static,20,28.97095238,82.85206349,10.61571429,32.43063492,26.32666667,,
2022-06-07,static,17,29.38015873,82.2347619,12.41825397,32.84190476,26.56126984,,
2022-06-08,static,16,29.0447619,85.04857143,15.64412698,31.71079365,26.90809524,,
2022-06-09,static,31,28.90777778,87.16444444,17.48079365,31.44047619,27.13126984,,
2022-06-10,static,17,28.44920635,83.30063492,18.35396825,31.13761905,26.30571429,,
2022-06-11,static,20,28.60063492,83.91587302,5.107460317,31.85396825,25.90349206,,
2022-06-12,static,24,29.11984127,84.43634921,17.93396825,32.2947619,26.57507937,,
2022-06-13,static,18,29.60904762,83.7531746,14.03365079,33.03333333,26.98047619,,
2022-06-14,static,18,29.15047619,86.19730159,16.91460317,32.09,27.10507937,,
2022-06-15,static,22,28.40825397,87.83,19.02269841,30.70079365,26.91047619,,
2022-06-16,static,31,27.93650794,87.87031746,31.34634921,30.07031746,26.4168254,,
2022-06-17,static,29,27.65888889,89.95174603,40.26,29.61825397,26.3552381,,
2022-06-18,static,40,27.70063492,88.81920635,57.08777778,29.76285714,26.26396825,,
2022-06-19,static,24,27.61825397,87.99111111,43.19809524,29.81698413,26.03809524,,
2022-06-20,static,27,27.50777778,87.85190476,29.85460317,29.68920635,25.84492063,,
2022-06-21,static,27,27.62714286,87.91873016,18.04428571,29.86666667,25.72825397,,
2022-06-22,static,27,27.86206349,84.84936508,10.28380952,30.7668254,25.56873016,,
2022-06-23,static,29,28.04047619,85.34079365,9.612222222,31.19269841,25.25492063,,
2022-06-24,static,21,28.02730159,86.56666667,6.173650794,30.65936508,25.92190476,,
2022-06-25,static,35,28.31984127,85.39761905,7.653333333,31.44793651,25.7,,
2022-06-26,static,32,28.21539683,85.82825397,5.903968254,30.98412698,26.01603175,,
2022-06-27,static,17,28.65666667,84.2284127,6.031111111,31.65873016,26.07047619,,
2022-06-28,static,47,28.08492063,86.84555556,11.7868254,30.44587302,26.36079365,,
2022-06-29,static,40,28.05047619,87.13666667,14.95365079,30.36714286,26.01063492,,
2022-06-30,static,33,27.89396825,88.17492063,12.7784127,30.00619048,26.01968254,,
2022-07-01,static,22,28.45809524,87.74888889,14.95380952,31.28904762,26.17571429,,
2022-07-02,static,49,28.23555556,87.26174603,14.8068254,30.86984127,26.32507937,,
2022-07-03,static,42,28.30444444,87.1315873,5.858888889,31.02746032,26.15698413,,
2022-07-04,static,36,28.40031746,86.74142857,6.231428571,31.22746032,26.22603175,,
2022-07-05,static,46,28.69047619,85.06190476,3.046349206,31.83777778,26.09380952,,
2022-07-06,static,32,28.26460317,87.95238095,12.15380952,30.68793651,26.49396825,,
2022-07-07,static,31,28.51777778,85.21888889,3.538571429,31.77190476,25.84857143,,
2022-07-08,static,29,28.48730159,85.46888889,3.507619048,31.48904762,26.09936508,,
2022-07-09,static,17,28.56031746,83.55825397,2.329206349,32.00444444,25.82333333,,
2022-07-10,static,4,28.70253968,84.55857143,5.895873016,32.04174603,25.87761905,,
2022-07-11,static,7,28.3815873,85.3584127,5.617619048,31.31746032,26.12698413,,
2022-07-12,static,73,28.95238095,83.85285714,3.969047619,32.30873016,26.25603175,,
2022-07-13,static,51,29.33555556,83.82809524,3.376031746,32.66587302,26.65063492,,
2022-07-14,static,51,28.96190476,85.23492063,3.79031746,31.83904762,26.78634921,,
2022-07-15,static,31,29.0847619,84.25444444,5.753809524,32.17460317,26.69650794,,
2022-07-16,static,60,29.25555556,83.93857143,4.405238095,32.73349206,26.49269841,,
2022-07-17,static,53,29.20619048,84.26063492,9.663015873,32.50920635,26.69412698,,
2022-07-18,static,66,29.03555556,82.95714286,4.616507937,32.41587302,26.34380952,,
2022-07-19,static,51,28.89269841,84.14730159,8.151587302,31.81063492,26.67063492,,
2022-07-20,static,70,28.89698413,85.10190476,14.63126984,31.74984127,26.70952381,,
2022-07-21,static,69,28.87825397,85.07571429,8.753174603,31.81571429,26.62968254,,
2022-07-22,static,35,28.80888889,86.26888889,5.752063492,31.64349206,26.66301587,,
2022-07-23,static,67,28.22444444,87.24904762,16.38698413,30.62857143,26.43619048,,
2022-07-24,static,65,27.70349206,88.1052381,20.54730159,29.68269841,26.18444444,,
2022-07-25,static,60,27.39,84.86587302,18.80015873,29.7052381,25.60492063,,
2022-07-26,static,99,27.89936508,81.57301587,8.604444444,31.0852381,25.22412698,,
2022-07-27,static,61,28.43507937,82.07444444,5.049206349,31.66936508,25.6184127,,
2022-07-28,static,64,28.3752381,84.11619048,7.962222222,31.04666667,26.20571429,,
2022-07-29,static,65,28.85349206,81.65015873,6.332063492,32.06968254,25.93968254,,
2022-07-30,static,85,28.93698413,84.82634921,8.391111111,31.92111111,26.55730159,,
2022-07-31,static,80,28.28857143,88.93984127,19.21460317,30.12047619,26.95825397,,
2022-08-01,static,87,28.68698413,87.92285714,15.30031746,30.98777778,26.8068254,,
2022-08-02,static,65,29.1952381,84.11539683,13.02460317,32.33587302,26.40873016,,
2022-08-03,static,77,28.31174603,86.71079365,16.67428571,30.56460317,26.54619048,,
2022-08-04,static,91,28.61396825,84.9331746,12.60746032,31.49190476,25.99793651,,
2022-08-05,static,40,28.99714286,85.44603175,10.83793651,31.91333333,26.61269841,,
2022-08-06,static,77,28.57428571,87.12825397,9.61984127,31.05761905,26.65238095,,
2022-08-07,static,87,29.38952381,83.50984127,9.76031746,32.70650794,26.37428571,,
2022-08-08,static,79,28.36873016,87.72015873,11.51888889,30.77857143,26.45793651,,
2022-08-09,static,53,28.2852381,87.43698413,15.48238095,31.13031746,26.15492063,,
2022-08-10,static,92,27.75698413,89.43555556,17.85587302,29.97015873,26.06920635,,
2022-08-11,static,90,27.93714286,88.25698413,12.63301587,30.47555556,25.89190476,,
2022-08-12,static,53,28.58428571,84.32333333,4.683809524,31.95873016,25.53730159,,
2022-08-13,static,92,28.20666667,87.63333333,9.332222222,31.21634921,26.0215873,,
2022-08-14,static,116,27.70650794,88.59809524,20.14190476,30.34777778,25.8315873,,
2022-08-15,static,96,28.02047619,87.38206349,7.861428571,30.88460317,25.83428571,,
2022-08-16,static,128,28.67714286,84.61285714,3.813015873,31.85444444,25.84761905,,
2022-08-17,static,98,29.34063492,83.5352381,3.333015873,32.42349206,26.25285714,,
2022-08-18,static,93,29.93428571,83.31444444,9.205873016,32.94015873,27.09460317,,
2022-08-19,static,54,28.55365079,86.41460317,26.37619048,31.25015873,26.42206349,,
2022-08-20,static,117,28.11825397,86.28920635,10.28571429,31.02174603,26.01587302,,
2022-08-21,static,135,28.0815873,86.68333333,6.460952381,31.05809524,25.65190476,,
2022-08-22,static,139,28.76698413,84.83301587,4.225873016,32.04380952,26.00571429,,
2022-08-23,static,153,28.13777778,87.80111111,28.30190476,30.65650794,26.14,,
2022-08-24,static,165,27.77761905,86.90492063,10.50365079,30.84666667,25.41396825,,
2022-08-25,static,180,28.20714286,84.0,2.31968254,31.68444444,25.30904762,,
2022-08-26,static,68,28.34,84.67063492,0.893968254,31.68095238,25.61095238,,
2022-08-27,static,131,27.75079365,88.42095238,8.023333333,30.12920635,25.90238095,,
2022-08-28,static,176,27.9,86.7984127,9.971428571,30.78269841,25.78285714,,
2022-08-29,static,201,28.25349206,85.18460317,6.745079365,31.33714286,25.76349206,,
2022-08-30,static,237,28.43285714,83.40333333,6.120793651,31.4547619,26.07015873,,
2022-08-31,static,251,28.49063492,85.97619048,6.485079365,31.62587302,25.71698413,,
2022-09-01,static,176,27.90301587,87.71492063,12.77095238,30.04492063,26.24460317,,
2022-09-02,static,90,27.97063492,87.77555556,14.05650794,30.53555556,26.05587302,,
2022-09-03,static,245,28.62857143,87.19111111,17.30238095,31.45809524,26.25873016,,
2022-09-04,static,213,28.62952381,88.79428571,18.00936508,31.09746032,26.91460317,,
2022-09-05,static,208,28.18603175,89.40698413,12.33285714,30.18634921,26.78746032,,
2022-09-06,static,284,28.11920635,88.09952381,16.60396825,30.33888889,26.49349206,,
2022-09-07,static,279,28.26650794,86.57206349,9.93968254,30.77285714,25.95873016,,
2022-09-08,static,275,29.0431746,84.86492063,11.92666667,32.05015873,26.37333333,,
2022-09-09,static,145,28.48619048,86.31396825,12.56206349,31.14650794,26.39095238,,
2022-09-10,static,294,27.61746032,89.63253968,14.50269841,29.72142857,26.02571429,,
2022-09-11,static,360,27.19809524,90.84666667,30.82333333,28.81047619,25.98380952,,
2022-09-12,static,345,27.00206349,92.62619048,41.61761905,28.52333333,25.7915873,,
2022-09-13,static,353,27.18079365,92.78698413,39.64634921,28.86650794,25.96365079,,
2022-09-14,static,389,27.06365079,90.4484127,32.6684127,29.06793651,25.55761905,,
2022-09-15,static,395,27.26730159,90.20507937,22.41952381,29.53333333,25.4131746,,
2022-09-16,static,164,27.47206349,90.23698413,14.69380952,29.79428571,25.57888889,,
2022-09-17,static,381,28.0147619,87.91063492,6.896349206,30.97126984,25.6031746,,
2022-09-18,static,399,28.33936508,86.1715873,4.071111111,31.12412698,25.88507937,,
2022-09-19,static,392,27.92349206,88.90952381,11.69746032,30.7252381,25.94301587,,
2022-09-20,static,438,27.76873016,88.9268254,5.212539683,30.42698413,25.85285714,,
2022-09-21,static,431,27.75698413,88.5668254,4.532539683,30.43888889,25.78761905,,
2022-09-22,static,437,27.81888889,88.11904762,4.367777778,30.6268254,25.64825397,,
2022-09-23,static,125,27.59666667,87.80888889,3.461111111,30.06571429,25.68174603,,
2022-09-24,static,440,27.34460317,88.09349206,6.062857143,29.7284127,25.62714286,,
2022-09-25,static,440,27.5768254,85.11063492,5.782063492,30.00634921,25.24333333,,
2022-09-26,static,482,27.54095238,84.6315873,3.531111111,30.10253968,25.20730159,,
2022-09-27,static,460,27.40968254,86.5547619,7.842539683,29.85888889,25.40174603,,
2022-09-28,static,524,27.53460317,85.27142857,4.471269841,30.14253968,25.38047619,,
2022-09-29,static,506,28.46936508,80.85126984,2.852222222,31.53285714,25.61539683,,
2022-09-30,static,240,28.69603175,81.32111111,1.32968254,32.16650794,25.35412698,,
2022-10-01,static,635,28.57809524,83.91142857,7.928253968,31.59603175,25.81904762,,
2022-10-02,static,568,27.40650794,90.57539683,25.13079365,29.36206349,25.9415873,,
2022-10-03,static,525,27.18873016,90.73111111,21.33714286,29.34603175,25.57650794,,
2022-10-04,static,482,27.45396825,88.80460317,15.79380952,29.74333333,25.72126984,,
2022-10-05,static,344,27.48380952,87.75238095,10.38269841,30.28761905,25.29126984,,
2022-10-06,static,637,27.3968254,86.54777778,4.904920635,30.36793651,25.01666667,,
2022-10-07,static,240,27.31873016,84.28492063,2.790793651,30.24777778,24.98650794,,
2022-10-08,static,712,27.51412698,84.29492063,5.020952381,30.38396825,24.92634921,,
2022-10-09,static,334,27.12492063,88.20396825,9.902380952,29.75714286,25.07285714,,
2022-10-10,static,624,26.94349206,88.77873016,12.46396825,29.47412698,25.08269841,,
2022-10-11,static,677,26.87047619,90.73301587,17.86730159,29.22809524,25.18190476,,
2022-10-12,static,647,26.52142857,89.96031746,18.13539683,28.41,25.16809524,,
2022-10-13,static,765,26.71825397,86.00746032,11.65888889,29.38730159,24.67650794,,
2022-10-14,static,310,26.93952381,83.5452381,4.673650794,29.88444444,24.45253968,,
2022-10-15,static,734,26.56809524,83.6952381,1.781111111,30.26730159,23.61206349,,
2022-10-16,static,855,26.39650794,82.27714286,1.047936508,30.71126984,22.72031746,,
2022-10-17,static,857,26.67666667,81.77904762,2.008730159,30.63095238,23.21095238,,
2022-10-18,static,900,26.85793651,80.44619048,0.945079365,30.32698413,23.62761905,,
2022-10-19,static,864,26.13460317,82.13301587,1.699206349,29.44269841,23.33730159,,
2022-10-20,static,896,25.97126984,82.16904762,0.445555556,30.26253968,22.5784127,,
2022-10-21,static,409,26.13873016,82.16952381,0.129206349,30.50142857,22.25603175,,
2022-10-22,static,922,26.4847619,79.8215873,0.123492063,31.14825397,22.49047619,,
2022-10-23,static,1034,25.13619048,87.43142857,20.5168254,28.59285714,22.46206349,,
2022-10-24,static,903,23.97666667,92.60015873,103.152381,25.68650794,22.26952381,,
2022-10-25,static,750,24.1684127,85.15619048,12.66396825,27.64365079,21.07571429,,
2022-10-26,static,923,24.60015873,80.08761905,3.824444444,28.16746032,20.95587302,,
2022-10-27,static,899,24.6152381,75.66507937,0.007460317,28.7415873,21.06904762,,
2022-10-28,static,440,23.93,76.06111111,0.003492063,28.36603175,19.76238095,,
2022-10-29,static,869,24.18253968,76.43857143,0.114603175,28.47555556,19.63571429,,
2022-10-30,static,1020,24.7931746,78.02952381,0.876507937,29.25,20.5152381,,
2022-10-31,static,873,25.21269841,80.32555556,0.789047619,29.58587302,21.18793651,,
2022-11-01,static,983,25.22222222,82.59063492,0.824444444,29.71492063,21.2468254,,
2022-11-02,static,1094,25.13888889,81.89142857,0.525555556,29.11222222,21.65190476,,
2022-11-03,static,882,24.26365079,79.9847619,0.142063492,28.00190476,20.80063492,,
